Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"By clicking ""Yes"" you are indicating that you consent to participate in this study and that your responses may be put in an anonymous form and kept for further use after the completion of the study. Please print a copy of this consent form for your own records.Do you consent to having your responses included in this research project?",What is your age?,What is your gender?,Are you a member of an ethnic minority?,Is English your first spoken language?,,What is your employment status?,,,,Which of the following apply to you? Select all that apply.,,,,,,,,,Do you consider yourself to have a disability?,"If you answered YES to the previous question, and you are comfortable doing so, please indicate the nature of your disability.",,,,,,,,,At which TWU campus are you teaching this semester (Spring 2018)?,,In which subject area(s) do you usually teach? (Select any that apply),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What kind of teaching do you do? Select any that apply.,,,,,,,For how many years have you been teaching?,Which of the following activities have you done in relation to your teaching or research in the past year? Select all that apply.,,,,,,,,,,,,,How important are the following features of textbooks?,,,,,,,What are other features of textbooks that you like?,What are features of textbooks that you dislike?,"How much money should students in your classes expect to spend on new required textbooks, lab manuals and online study materials this term?",,,,,Are you aware of the BCcampus offers free textbooks through the Open Textbook Repository?See open.bccampus.ca,"If you are aware of the BCcampus Open Textbooks, how did you become aware of them?",Are you aware that the BCcampus Open Textbooks are available through the TWU Library?,Have you used BCcampus Open Textbooks as required materials in one or more of your courses?,"If you have not used a BCcampus open textbook, which of the following reasons contributed to this decision. Select all that apply.",,,,,,,"In what ways, if any, have you used or created Open Educational Resources (OER)?",,,,,,,,,,"Which, if any, of the following types of open educational resources have you used for teaching?",,,,,,,,,,,,,,,,,For which of the following purposes have you used open educational resources in the context of your teaching?Select all that apply.,,,,,,,,,,,,,,,,,,,"Which challenges, if any, do you most often face in using open educational resources?",,,,,,,,,,,,,,,,,,"Based on your experiences as a teacher, how would you rate the quality of OER or open textbooks when compared with traditional, proprietary materials? If you have not used OER, please make a prediction on the quality.","To what extent do you agree with the following statements about the impact on your teaching practice of your using open educational resources? If you have not used OER, please make a prediction on the effects of using OER.",,,,,,,,,,,"Based on your experience as a teacher, to what extent do you agree with the following statements? If you have not used OER, please make a prediction.",,,,,,,,,,,,
,,,,,,,,,Response,Response,Response,Response,Response,"If NO, please specify your first spoken language.","Full-time, Tenured Faculty",Full-time Tenure-track Faculty,"Part-time, Sessional, or Adjunct Faculty",Other (please specify),Teaching Faculty,Researcher,Librarian,Lab Instructor,Department Chair,Program Director,Associate Dean,Dean,Other (please specify),Response,Blind/partially sighted,Deaf/hearing impaired,Speech impediment,Mobility and dexterity impairment(s),Learning difficulties/disabilities,Neuro-diverse impairment(s),Mental health problem(s),Long-term Illness/chronic medical condition,Other (please specify),Response,Other (please specify),"Applied Science, Technology and Engineering",Arts,Biology,Biblical Studies,Chemistry,Computing and Information Science,"Economics, Business and Management",Education,Environmental Science,Geography,Health and Social Care,History,Human Kinetics,Information Literacy,Intercultural Studies,Languages,Leadership,Linguistics,Literature,Mathematics,Media and Communications,Music,Nursing,Philosophy,Physics,Psychology,Religious Studies,Social Science,Special Education,Theatre,Theology,Visual Arts,Other (please specify),Full-time face-to-face teaching,Part-time face-to-face teaching,Full-time distance/online teaching,Part-time distance/online teaching,Full-time blended (face-to-face and distance/online) teaching,Part-time blended (face-to-face and distance/online) teaching,Other (please specify),Response,Used Twitter or other social networking to share information about your teaching or research,Maintained a professional blog or wiki,Presented your work at research events (e.g conferences),Presented your work at staff development events,Published podcasts or other audio/video online,Used social bookmarking or similar to share links,Deposited a resource into an open repository,Shared resources in response to requests via mailing lists or email,Published books or study guides with a commercial publisher,Published research or teaching presentations publicly online,"Linked online content when writing reports, papers, etc.",Published a paper in an academic journal,None of these,Cost to students,Immediate access for students,Convenience & portability of the digital format,Ability to print pages,Ability to keep it forever,Ability to share it with others,Publisher-created resources such as test banks and presentation slides,Open-Ended Response,Open-Ended Response,Course 1,Course 2,Course 3,Course 4,Course 5,Response,Open-Ended Response,Response,Response,No textbook available for my discipline/course,Poor quality of open textbook,"Lack of additional instructor resources (such as image gallery, test bank, or instructor manual)",Lack of support from colleagues/Department to change textbook,Lack of time to transition to new textbook,No awareness of Open Textbooks,Other (please specify),I have not used or created open educational resources.,I have used OER.,I have adapted OER to fit my needs.,I have created OER for study or teaching.,I have created resources myself and published them on a Creative Commons (CC) license.,I have added a resource to a repository,I have downloaded a resource from a repository,I have added comments to a repository regarding the quality of a resource,I have added comments to a repository suggesting ways of using a resource,Other (please specify),I have not used OER,Open textbooks,Whole course,Elements of a course (module or unit),Videos,Audio podcasts,Images,Infographics,Interactive games,Lectures,Lesson plans,Tutorials,Quizzes,E-books,Data sets,"Learning tools, instruments, or plugins",Other (please specify),I have not used OER,To prepare for my teaching,To get new ideas and inspiration,To supplement my existing lessons or coursework,As 'assets' (images or text extracts) within a classroom lesson,To give to learners as compulsory self-study materials,To give to learners as optional self-study materials,To provide e-learning materials to online learners,To compare them with my own teaching materials in order to assess the quality of my materials,To broaden the range of my teaching methods,To broaden the range of resources available to my learners,To make my teaching more culturally diverse or responsive,To enhance my professional development,To stay up-to-date in a subject or topic area,To learn about a new topic,To engage my students more fully in a topic area,To connect with teachers or learners who have similar interests (e.g. by reading comments the have posted about resources),To interest hard-to-engage learners,Other (please specify),I have not used OER,Overcoming technology problems when downloading resources,Knowing where to find resources,Finding suitable resources in my subject area,Finding resources of sufficiently high quality,Finding resources that are up-­to-­date,Finding resources that are relevant to my local context,Getting work colleagues/managers to accept the use of open educational resources,Not being skilled enough to edit resources to suit my own context,"Not knowing whether I have permission to use, change or modify resources",Not having enough time to look for suitable resources,Not having connections with open educational resource­-using peers who could be a source of support,Missing/needing the support of a tutor or instructor to help me work through open course materials,Not knowing how to use the resources in the classroom,Not having enough time/opportunities to experiment with using open educational resources in the classroom,Lacking institutional support for my use of open educational resources,Resources not being aligned with professional standards or regulation,Other (please specify),Response,I have broadened my coverage of the curriculum,I use a broader range of teaching and learning methods,I have improved information and communication technology skills,I make use of a wider range of multimedia,I make more use of culturally diverse resources,I have a more up-­to­-date knowledge of my subject area,I reflect more on the way that I teach,I more frequently compare my own teaching with others,I now use OER study to develop my teaching,I collaborate more with colleagues,"To help us understand your responses more clearly, please provide evidence, or tell us more about any experience, which supports your responses to the previous question's statements.",Increases learners' participation in class discussions.,Increases learners' interest in the subjects taught,Increases learners' satisfaction with the learning experience,Leads to improved grades,Build learners' confidence,Develops learners' increased independence and self-reliance,Allows me to better accommodate diverse learners' needs,Increases learners' engagement with lesson content,Increases learners' experimentation with new ways of learning,Increases collaboration and/or peer-support amongst learners,Increases learners' enthusiasm for future study,Leads to learners becoming interested in a wider range of subjects than before they used OER,"To help us understand your responses more clearly, please provide evidence, or tell us more about any experience, which supports your responses to the previous question's statements."
110001154901,270042610,05/09/2018 08:11:52 AM,05/09/2018 08:20:26 AM,,,,,,Yes,45 to 54,Male,No,Yes,,,,,management staff,,,,Lab Instructor,,,,,Lab Manager,No,,,,,,,,,,Langley,,,,Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part-time face-to-face teaching,,,,,,More than 20 years,,,,,,,,Shared resources in response to requests via mailing lists or email,,,"Linked online content when writing reports, papers, etc.",,,Very important,Very important,Very important,Of average importance,Very important,Very important,Of average importance,,"bulk, tendency to become out-of-date rapidly",$200,,,,,Yes,"searched, and campus was notififed",Yes,No,No textbook available for my discipline/course,,,Lack of support from colleagues/Department to change textbook,Lack of time to transition to new textbook,,,,I have used OER.,,,,,,,,,,Open textbooks,,,Videos,Audio podcasts,,Infographics,,,,,,E-books,Data sets,,,,To prepare for my teaching,To get new ideas and inspiration,To supplement my existing lessons or coursework,As 'assets' (images or text extracts) within a classroom lesson,,To give to learners as optional self-study materials,To provide e-learning materials to online learners,To compare them with my own teaching materials in order to assess the quality of my materials,To broaden the range of my teaching methods,To broaden the range of resources available to my learners,,To enhance my professional development,To stay up-to-date in a subject or topic area,To learn about a new topic,To engage my students more fully in a topic area,,,,,Overcoming technology problems when downloading resources,Knowing where to find resources,Finding suitable resources in my subject area,Finding resources of sufficiently high quality,Finding resources that are up-­to-­date,Finding resources that are relevant to my local context,Getting work colleagues/managers to accept the use of open educational resources,Not being skilled enough to edit resources to suit my own context,"Not knowing whether I have permission to use, change or modify resources",Not having enough time to look for suitable resources,Not having connections with open educational resource­-using peers who could be a source of support,,,Not having enough time/opportunities to experiment with using open educational resources in the classroom,Lacking institutional support for my use of open educational resources,,,Comparable,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
110001085624,270042610,05/07/2018 02:15:08 PM,05/07/2018 02:23:21 PM,,,,,,Yes,35 to 44,Male,Yes,"If NO, please specify your first spoken language.",spanish,,Full-time Tenure-track Faculty,,,Teaching Faculty,Researcher,,,,,,,,No,,,,,,,,,,Langley,,,,,,,,,,,,,,,,,,,,,Mathematics,,,,,,,,,,,,,,Full-time face-to-face teaching,,,,,,,,,,Presented your work at research events (e.g conferences),,,,Deposited a resource into an open repository,,,,,Published a paper in an academic journal,,Absolutely essential,Absolutely essential,Very important,Of average importance,Of average importance,Of average importance,Of average importance,Quality of content and exercises,Cost!,$180,,,,,Yes,By emails,Yes,No,,Poor quality of open textbook,,,,,,I have not used or created open educational resources.,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,Slightly worse,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,
110001055785,270042610,05/04/2018 09:12:59 AM,05/04/2018 09:13:30 AM,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001055086,270042610,05/04/2018 09:00:17 AM,05/04/2018 09:01:07 AM,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001055048,270042610,05/04/2018 08:58:58 AM,05/04/2018 08:59:12 AM,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001009401,270042610,05/03/2018 11:33:28 AM,05/03/2018 11:39:37 AM,,,,,,Yes,45 to 54,Prefer not to say,No,Yes,,,,"Part-time, Sessional, or Adjunct Faculty",,Teaching Faculty,,,,,,,,,No,,,,,,,,,,Langley,,,,,,,,,,,,,,,,,,,,,,,,,Philosophy,,,,,,,,,,Full-time face-to-face teaching,,,,,,,16 to 20 years,,,Presented your work at research events (e.g conferences),,,,,,Published books or study guides with a commercial publisher,,,Published a paper in an academic journal,,Of little importance,Of average importance,Of little importance,Of little importance,Of average importance,Of little importance,Of little importance,,,100,,,,,No,,No,No,No textbook available for my discipline/course,,,,,,,I have not used or created open educational resources.,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,Significantly worse,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,
110000969132,270042610,05/02/2018 02:20:16 PM,05/02/2018 02:57:01 PM,,,,,,Yes,65 to 74,Male,No,Yes,,"Full-time, Tenured Faculty",,,,Teaching Faculty,,,,,,,,,Yes,,,,,,,,,daily migraine,Langley,,,,,Biblical Studies,,,,,,,,History,,,Intercultural Studies,,,,,,,,,,,,Religious Studies,,,,,,,Full-time face-to-face teaching,,,,,,,More than 20 years,,,,,,,,,,,,,None of these,Very important,Very important,Very important,Absolutely essential,Of average importance,Of little importance,Not important at all,"testing, pictures, charts, case studies","size, weight, expense",$50,$50,$50,$50,$50,No,,No,No,,,,,,No awareness of Open Textbooks,,I have not used or created open educational resources.,,,,,,,,,,,,,,Videos,,Images,,Interactive games,Lectures,,,Quizzes,,,,,I have not used OER,,,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Agree,,,,,,,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,
110000968828,270042610,05/02/2018 09:30:23 AM,05/02/2018 01:34:28 PM,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000967537,270042610,05/02/2018 11:23:24 AM,05/02/2018 11:30:29 AM,,,,,,Yes,55 to 64,Male,No,Yes,,"Full-time, Tenured Faculty",,,,Teaching Faculty,Researcher,,,Department Chair,,,,,No,,,,,,,,,,Langley,,,,,,,,,,,,,History,,,,,,,,,,,,,,,,,,,,,,Full-time face-to-face teaching,,,Part-time distance/online teaching,,,,11 to 15 years,,,Presented your work at research events (e.g conferences),Presented your work at staff development events,,,,,Published books or study guides with a commercial publisher,,"Linked online content when writing reports, papers, etc.",Published a paper in an academic journal,,Very important,Very important,Very important,Very important,Of little importance,Very important,Very important,,,100 - 150,100 - 150,150 - 200,,,Yes,,Yes,No,No textbook available for my discipline/course,,"Lack of additional instructor resources (such as image gallery, test bank, or instructor manual)",,,,,I have not used or created open educational resources.,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,I have not used OER,,,,,,,,,,,,,,,,,,,,Overcoming technology problems when downloading resources,,Finding suitable resources in my subject area,Finding resources of sufficiently high quality,,,,,,Not having enough time to look for suitable resources,,,,Not having enough time/opportunities to experiment with using open educational resources in the classroom,,,,Comparable,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,
